"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sentinel of the Nameless City","G","R","2598","1.57","1611","1.50","1705","100.0%","57.0%","303","","445","","748","64.6%","947","51.2%","13.4pp"
"Deep-Cavern Bat","B","U","17360","3.16","5507","3.67","5173","98.4%","58.1%","886","68.2%","1275","61.6%","2161","64.3%","2981","53.6%","10.7pp"
"Preacher of the Schism","B","R","2553","1.50","1650","1.45","1455","100.0%","58.7%","260","","377","","637","62.6%","813","55.2%","7.4pp"
"Pugnacious Hammerskull","G","R","2708","1.64","1464","1.60","1268","98.1%","55.8%","208","","322","","530","61.5%","731","51.7%","9.8pp"
"Bedrock Tortoise","G","R","2893","1.76","1429","1.69","1387","99.1%","55.9%","234","","349","","583","60.9%","791","52.5%","8.4pp"
"Intrepid Paleontologist","G","R","2859","1.75","1378","1.71","1329","98.6%","56.3%","256","","303","","559","59.9%","754","53.2%","6.7pp"
"Abyssal Gorestalker","B","U","30007","6.03","3225","8.90","1282","47.7%","52.7%","198","","317","","515","58.6%","759","48.9%","9.8pp"
"Chupacabra Echo","B","U","13942","2.51","5113","2.84","5289","99.5%","54.7%","913","56.1%","1328","59.9%","2241","58.4%","3006","51.7%","6.6pp"
"Defossilize","B","U","22622","4.28","4208","5.44","4389","89.3%","53.9%","692","56.4%","1132","59.5%","1824","58.3%","2556","50.8%","7.5pp"
"Thrashing Brontodon","G","U","17753","3.12","4259","3.76","4301","98.5%","55.0%","754","56.6%","1091","59.4%","1845","58.3%","2421","52.3%","5.9pp"
"Staggering Size","G","C","89148","7.74","9997","10.85","1767","26.9%","53.9%","278","","451","","729","58.0%","1036","51.1%","7.0pp"
"In the Presence of Ages","G","C","91258","8.18","8860","11.93","3471","38.9%","55.3%","639","56.8%","826","59.0%","1465","58.0%","1999","53.3%","4.7pp"
"Jade Seedstones","G","U","32117","4.95","4512","6.85","2289","68.0%","53.3%","361","","593","59.5%","954","57.7%","1331","50.1%","7.5pp"
