"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Magmatic Galleon","R","R","2629","1.61","1895","1.57","1459","99.8%","59.0%","244","","390","","634","67.7%","821","52.5%","15.2pp"
"Trumpeting Carnosaur","R","R","2164","1.30","1751","1.28","1294","100.0%","57.7%","221","","351","","572","66.3%","722","50.8%","15.4pp"
"Breeches, Eager Pillager","R","R","2399","1.48","1819","1.44","1265","99.4%","58.5%","233","","321","","554","65.2%","712","53.4%","11.8pp"
"Inti, Seneschal of the Sun","R","R","2529","1.54","1837","1.52","1567","100.0%","57.4%","292","","375","","667","63.3%","902","53.3%","9.9pp"
"Deep-Cavern Bat","B","U","17360","3.16","5507","3.67","5459","98.8%","57.0%","991","66.1%","1367","60.8%","2358","63.0%","3098","52.3%","10.7pp"
"Preacher of the Schism","B","R","2553","1.50","1650","1.45","1462","100.0%","55.3%","245","","380","","625","62.7%","841","50.1%","12.7pp"
"Geological Appraiser","R","U","15802","2.87","6606","3.23","4690","98.6%","55.5%","759","56.9%","1187","60.2%","1946","58.9%","2731","52.9%","6.1pp"
"Starving Revenant","B","R","2970","1.78","1519","1.76","1569","99.1%","54.8%","284","","395","","679","58.8%","892","51.3%","7.4pp"
"Chupacabra Echo","B","U","13942","2.51","5113","2.84","4790","99.5%","55.5%","810","55.6%","1203","60.1%","2013","58.3%","2763","53.4%","4.9pp"
"Defossilize","B","U","22622","4.28","4208","5.44","2816","80.2%","54.1%","428","","687","59.7%","1115","58.0%","1694","51.4%","6.6pp"
"Belligerent Yearling","R","U","16451","3.02","5308","3.49","3141","94.8%","55.4%","578","60.9%","717","54.5%","1295","57.4%","1842","53.9%","3.5pp"
"Bitter Triumph","B","U","14137","2.58","4622","2.95","4526","98.6%","53.7%","831","55.5%","1089","58.6%","1920","57.2%","2600","51.0%","6.2pp"
"Stalactite Stalker","B","R","3139","1.91","1438","1.89","1434","100.0%","53.2%","260","","338","","598","57.2%","837","50.4%","6.8pp"
"Tithing Blade","B","C","65254","4.91","10146","6.71","8329","87.2%","54.1%","1532","55.5%","2010","58.2%","3542","57.0%","4779","52.0%","5.0pp"
"Plundering Pirate","R","C","69091","4.85","16068","6.27","9213","90.9%","53.8%","1645","54.5%","2211","58.2%","3856","56.6%","5350","51.7%","4.9pp"
"Brass's Tunnel-Grinder","R","R","3588","2.16","1554","2.20","1502","97.3%","53.6%","254","","379","","633","56.6%","865","51.6%","5.0pp"
"Digsite Conservator","","U","27149","4.49","5802","6.10","1762","79.4%","54.2%","312","","429","","741","56.4%","1019","52.6%","3.8pp"
"Volatile Wanderglyph","R","C","77861","5.65","16313","7.37","10049","87.7%","53.9%","1780","57.1%","2432","55.3%","4212","56.0%","5832","52.4%","3.6pp"
"Tarrian's Journal","B","R","3289","2.03","1460","2.02","1151","92.3%","54.1%","200","","302","","502","56.0%","646","52.6%","3.3pp"
"Restless Vents","","R","5175","2.99","1324","3.49","1936","99.9%","53.6%","369","","503","56.1%","872","55.8%","1062","51.6%","4.2pp"
"Ancestors' Aid","R","C","88740","7.57","12510","10.54","1574","26.3%","51.6%","244","","366","","610","55.7%","962","48.9%","6.9pp"
"Corpses of the Lost","B","R","3423","2.13","1618","2.10","1539","98.1%","53.2%","244","","382","","626","55.6%","913","51.5%","4.1pp"
"Panicked Altisaur","R","C","76978","5.88","9994","8.59","4533","69.4%","53.7%","699","55.8%","1157","55.4%","1856","55.5%","2679","52.4%","3.1pp"
"Fanatical Offering","B","C","80284","6.29","10891","8.78","7815","77.5%","53.6%","1272","51.7%","1987","58.0%","3259","55.5%","4543","52.1%","3.4pp"
"Zoyowa Lava-Tongue","BR","U","24481","4.91","3988","6.52","9958","99.1%","52.8%","1748","55.8%","2480","55.2%","4228","55.4%","5720","50.9%","4.5pp"
"Visage of Dread","B","U","27821","4.14","5722","5.30","4586","88.6%","53.6%","832","57.6%","1189","53.7%","2021","55.3%","2559","52.2%","3.1pp"
"Abrade","R","C","40002","2.81","16888","3.25","11628","99.3%","53.6%","1997","53.3%","2854","56.7%","4851","55.3%","6751","52.2%","3.0pp"
"Join the Dead","B","C","44708","3.17","11930","3.82","11341","98.7%","53.3%","1816","53.4%","2912","56.3%","4728","55.2%","6593","51.9%","3.3pp"
"Dire Flail","R","R","3681","2.22","2095","2.15","1446","96.5%","52.6%","238","","384","","622","55.1%","820","50.6%","4.5pp"
"Hidden Volcano","","B","73167","6.00","11580","8.50","7609","95.4%","54.1%","1369","55.6%","1901","54.7%","3270","55.0%","4334","53.4%","1.6pp"
"Synapse Necromage","B","U","24369","4.44","4499","5.76","3842","89.9%","53.9%","631","55.6%","863","54.6%","1494","55.0%","2339","53.0%","2.0pp"
"Etali's Favor","R","C","82257","6.48","14326","8.55","4263","54.9%","54.1%","755","55.1%","994","54.7%","1749","54.9%","2505","53.5%","1.4pp"
"Hidden Necropolis","","B","73164","6.13","10111","8.65","8492","96.7%","54.1%","1492","55.2%","2098","54.6%","3590","54.8%","4896","53.6%","1.2pp"
"Molten Collapse","BR","R","4535","2.85","1319","3.02","2806","99.8%","52.8%","491","","717","57.7%","1208","54.8%","1590","51.3%","3.5pp"
"Seismic Monstrosaur","R","C","75662","5.54","10144","8.09","6425","82.9%","52.7%","1077","52.3%","1634","56.1%","2711","54.6%","3714","51.3%","3.3pp"
"Rampaging Spiketail","B","C","77886","5.81","9757","8.29","6957","78.3%","52.0%","1162","52.6%","1752","55.9%","2914","54.6%","4033","50.1%","4.5pp"
"Goblin Tomb Raider","R","C","80856","6.38","17699","7.96","5455","61.6%","53.2%","891","57.5%","1332","52.5%","2223","54.5%","3230","52.3%","2.2pp"
"Echo of Dusk","B","C","78796","5.93","9761","8.45","7634","78.3%","53.7%","1331","54.9%","1886","54.1%","3217","54.5%","4405","53.0%","1.4pp"
"Scytheclaw Raptor","R","U","16287","2.92","5030","3.48","3394","97.6%","52.4%","595","54.6%","805","54.3%","1400","54.4%","1998","51.0%","3.5pp"
"Captivating Cave","","B","72074","5.76","9793","8.31","2437","74.4%","52.3%","449","","630","54.8%","1079","54.3%","1355","50.6%","3.7pp"
"Dinotomaton","R","C","74435","5.46","11905","7.65","4929","71.7%","53.1%","796","55.8%","1195","53.1%","1991","54.2%","2939","52.3%","1.9pp"
"Deathcap Marionette","B","C","74771","5.54","11313","7.55","8639","84.3%","53.2%","1524","52.8%","2173","54.4%","3697","53.7%","4936","52.7%","1.0pp"
"Primordial Gnawer","B","C","88475","7.55","9451","11.01","2981","36.7%","51.1%","485","","807","54.8%","1292","53.7%","1690","49.1%","4.6pp"
