"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Kitesail Larcenist","U","R","2795","1.72","1946","1.69","1829","99.9%","59.8%","334","","523","64.1%","857","64.2%","932","54.8%","9.3pp"
"Malcolm, Alluring Scoundrel","U","R","2686","1.64","1870","1.59","1698","100.0%","55.8%","284","","482","","766","63.3%","895","49.5%","13.8pp"
"Zoetic Glyph","U","U","20208","3.75","8636","3.97","5573","88.5%","57.1%","925","63.9%","1573","62.5%","2498","63.0%","3003","52.1%","10.9pp"
"Deep-Cavern Bat","B","U","17360","3.16","5507","3.67","6812","98.3%","57.7%","1170","66.8%","1806","60.4%","2976","62.9%","3776","53.3%","9.6pp"
"Preacher of the Schism","B","R","2553","1.50","1650","1.45","1772","100.0%","57.6%","322","","534","62.5%","856","62.6%","897","52.8%","9.8pp"
"Chupacabra Echo","B","U","13942","2.51","5113","2.84","7344","99.9%","56.4%","1277","59.5%","2098","63.2%","3375","61.8%","3861","51.4%","10.4pp"
"Subterranean Schooner","U","R","2941","1.85","1989","1.80","1585","97.4%","55.5%","262","","423","","685","61.3%","868","50.3%","11.0pp"
"Abyssal Gorestalker","B","U","30007","6.03","3225","8.90","1256","41.9%","54.5%","186","","336","","522","61.1%","720","49.6%","11.5pp"
"Akal Pakal, First Among Equals","U","R","3183","1.92","2115","1.89","1649","96.7%","56.9%","259","","483","","742","60.9%","890","53.3%","7.7pp"
"Restless Reef","","R","4674","2.73","1439","3.00","2737","100.0%","55.3%","489","","767","57.4%","1256","60.6%","1458","50.3%","10.2pp"
"The Ancient One","UB","M","1948","2.54","521","2.57","1404","97.3%","54.6%","222","","432","","654","60.2%","734","48.9%","11.3pp"
"Souls of the Lost","B","R","3713","2.26","1170","2.33","1594","97.5%","55.0%","260","","478","","738","60.0%","842","49.9%","10.1pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","2599","86.2%","54.9%","437","","682","60.3%","1119","59.8%","1437","51.3%","8.5pp"
"Spyglass Siren","U","U","17780","3.19","7761","3.56","6321","97.7%","55.7%","1126","61.5%","1707","58.0%","2833","59.4%","3386","52.7%","6.7pp"
"Starving Revenant","B","R","2970","1.78","1519","1.76","1874","99.0%","52.9%","325","","532","58.8%","857","58.5%","992","47.8%","10.7pp"
"The Everflowing Well","U","R","4111","2.53","1645","2.62","1724","94.8%","54.6%","297","","447","","744","58.3%","945","50.8%","7.5pp"
"Stalactite Stalker","B","R","3139","1.91","1438","1.89","1777","99.6%","55.5%","337","","467","","804","58.1%","960","53.3%","4.8pp"
"Waterwind Scout","U","C","57094","4.04","20442","4.69","17327","98.2%","55.6%","3002","57.1%","4837","58.7%","7839","58.1%","9323","53.4%","4.7pp"
"Tithing Blade","B","C","65254","4.91","10146","6.71","11623","89.3%","54.7%","1992","56.6%","3324","58.8%","5316","58.0%","6089","51.6%","6.4pp"
"Hoverstone Pilgrim","","U","34124","6.69","4541","9.53","1328","47.2%","54.4%","218","","385","","603","57.7%","692","51.0%","6.7pp"
"Wail of the Forgotten","UB","R","6724","3.97","1360","5.11","2861","92.6%","54.7%","470","","801","59.6%","1271","57.6%","1544","52.0%","5.6pp"
"Terror Tide","B","R","3387","2.02","1399","1.96","2009","97.2%","54.7%","359","","545","60.2%","904","57.4%","1084","52.6%","4.8pp"
"Bitter Triumph","B","U","14137","2.58","4622","2.95","5566","99.6%","54.3%","970","56.4%","1608","57.6%","2578","57.2%","2924","51.7%","5.5pp"
"Defossilize","B","U","22622","4.28","4208","5.44","4228","84.0%","52.9%","689","55.2%","1182","58.0%","1871","57.0%","2290","49.3%","7.7pp"
"Council of Echoes","U","U","25603","4.85","5331","6.14","6257","89.5%","54.4%","950","52.0%","1760","59.7%","2710","57.0%","3465","52.1%","4.9pp"
"Stinging Cave Crawler","B","U","19694","3.48","4096","4.36","5589","96.3%","53.9%","927","54.2%","1558","58.5%","2485","56.9%","3058","51.2%","5.6pp"
"Orazca Puzzle-Door","U","C","90290","7.83","16113","10.33","7931","56.4%","54.9%","1401","55.5%","2087","57.5%","3488","56.7%","4324","53.4%","3.3pp"
"Unlucky Drop","U","C","91237","8.18","16587","10.54","4343","39.0%","55.2%","682","53.2%","1202","58.6%","1884","56.6%","2407","54.0%","2.6pp"
"Cogwork Wrestler","U","C","84927","6.98","18368","8.74","7019","59.1%","55.1%","1196","55.1%","1775","57.6%","2971","56.6%","3950","54.1%","2.5pp"
"Inverted Iceberg","U","C","76036","5.99","17720","7.56","13824","84.7%","54.7%","2422","55.9%","3674","56.9%","6096","56.5%","7475","53.0%","3.5pp"
"Join the Dead","B","C","44708","3.17","11930","3.82","15541","99.5%","53.5%","2607","53.2%","4455","58.4%","7062","56.5%","8266","50.8%","5.7pp"
"Lodestone Needle","U","U","27505","4.25","8736","4.98","5757","87.9%","54.2%","1021","50.0%","1601","60.5%","2622","56.4%","3014","52.3%","4.1pp"
"Fanatical Offering","B","C","80284","6.29","10891","8.78","7884","68.0%","54.1%","1279","55.1%","2168","57.1%","3447","56.3%","4363","52.3%","4.0pp"
"Tishana's Tidebinder","U","R","3903","2.26","1758","2.33","1521","94.8%","52.7%","281","","414","","695","56.3%","809","49.8%","6.4pp"
"Staunch Crewmate","U","U","23134","4.26","7773","4.77","3726","76.1%","53.9%","650","55.7%","980","56.5%","1630","56.2%","1996","51.6%","4.6pp"
"Sage of Days","U","C","89679","8.00","12851","11.05","8571","59.8%","54.7%","1521","54.4%","2253","57.2%","3774","56.1%","4731","53.5%","2.6pp"
"Sinuous Benthisaur","U","U","33094","6.83","4766","9.33","1488","42.4%","53.3%","225","","405","","630","55.9%","831","50.7%","5.2pp"
"Uchbenbak, the Great Mistake","UB","U","26336","5.12","4065","6.98","9593","94.8%","53.3%","1570","55.2%","2622","56.3%","4192","55.9%","5329","51.0%","4.9pp"
"Corpses of the Lost","B","R","3423","2.13","1618","2.10","1832","95.9%","53.3%","333","","532","56.4%","865","55.8%","932","50.4%","5.4pp"
"Echo of Dusk","B","C","78796","5.93","9761","8.45","10298","80.8%","53.3%","1785","53.8%","2724","57.0%","4509","55.8%","5711","51.2%","4.5pp"
"Careening Mine Cart","","U","23402","3.97","6787","4.95","1644","64.7%","53.5%","283","","431","","714","55.7%","910","51.5%","4.2pp"
"Synapse Necromage","B","U","24369","4.44","4499","5.76","3610","77.8%","52.5%","633","53.2%","971","57.4%","1604","55.7%","1968","49.7%","6.0pp"
"Ray of Ruin","B","C","76503","5.81","9134","8.37","7421","70.9%","53.4%","1164","52.7%","2133","57.2%","3297","55.7%","4029","51.4%","4.3pp"
"Visage of Dread","B","U","27821","4.14","5722","5.30","6713","92.1%","53.5%","1132","57.7%","1843","54.4%","2975","55.6%","3608","51.2%","4.5pp"
"Dead Weight","B","C","61248","4.32","12804","5.54","16057","95.8%","54.2%","2786","54.9%","4351","56.1%","7137","55.6%","8742","53.0%","2.6pp"
"Promising Vein","","B","73799","6.01","9748","8.64","3504","73.6%","53.1%","609","52.9%","988","56.6%","1597","55.2%","1882","51.3%","3.9pp"
"Skullcap Snail","B","C","72667","5.29","12431","7.06","13578","87.0%","53.8%","2325","53.2%","3519","56.4%","5844","55.1%","7632","52.7%","2.4pp"
"Deathcap Marionette","B","C","74771","5.54","11313","7.55","14060","90.2%","54.0%","2498","54.7%","3610","55.2%","6108","55.0%","7821","53.3%","1.7pp"
"Brackish Blunder","U","C","82857","6.48","16517","8.52","7648","61.9%","53.0%","1265","53.6%","2066","55.9%","3331","55.0%","4237","51.3%","3.7pp"
"Chart a Course","U","U","24674","4.55","6481","5.58","5196","87.9%","53.8%","910","51.0%","1429","57.2%","2339","54.8%","2801","52.7%","2.1pp"
"Oaken Siren","U","C","71616","5.37","18614","6.63","8143","73.0%","53.5%","1418","54.7%","2025","54.8%","3443","54.7%","4579","52.3%","2.5pp"
