"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sentinel of the Nameless City","G","R","2598","1.57","1611","1.50","1486","99.9%","59.3%","266","","403","","669","66.1%","795","53.2%","12.9pp"
"Deepfathom Echo","UG","R","4038","2.64","1591","2.51","2948","99.9%","57.2%","515","59.6%","817","64.1%","1332","62.4%","1571","52.6%","9.7pp"
"Zoetic Glyph","U","U","20208","3.75","8636","3.97","2286","77.2%","57.5%","380","","558","60.4%","938","62.2%","1332","54.3%","7.9pp"
"Jadelight Spelunker","G","R","2838","1.75","1461","1.69","1305","100.0%","56.2%","256","","351","","607","61.3%","685","51.7%","9.6pp"
"Spyglass Siren","U","U","17780","3.19","7761","3.56","3886","98.8%","57.5%","708","65.3%","940","57.2%","1648","60.7%","2183","54.9%","5.8pp"
"Staunch Crewmate","U","U","23134","4.26","7773","4.77","1235","63.8%","55.2%","212","","317","","529","59.0%","675","52.9%","6.1pp"
"Lodestone Needle","U","U","27505","4.25","8736","4.98","3660","91.5%","55.9%","613","52.7%","1001","61.8%","1614","58.4%","2012","53.8%","4.6pp"
"Waterwind Scout","U","C","57094","4.04","20442","4.69","11934","99.3%","55.8%","2143","57.5%","3174","58.6%","5317","58.2%","6465","54.1%","4.1pp"
"Staggering Size","G","C","89148","7.74","9997","10.85","3387","54.9%","56.1%","514","58.0%","823","58.0%","1337","58.0%","2047","54.9%","3.1pp"
"Cenote Scout","G","U","21613","3.87","4594","4.82","4485","99.0%","55.3%","800","60.9%","1069","55.8%","1869","57.9%","2583","53.4%","4.6pp"
"Earthshaker Dreadmaw","G","U","17299","3.23","3700","3.84","1601","82.9%","54.6%","238","","418","","656","56.9%","917","53.0%","3.9pp"
"Tendril of the Mycotyrant","G","U","23818","4.44","4260","5.61","3067","93.6%","56.0%","519","54.5%","742","58.5%","1261","56.9%","1759","55.5%","1.3pp"
"Council of Echoes","U","U","25603","4.85","5331","6.14","2617","84.9%","55.9%","394","","703","59.7%","1097","56.8%","1483","55.4%","1.4pp"
"Huatli's Final Strike","G","C","63359","4.49","10509","5.86","8409","97.4%","54.8%","1343","54.4%","2385","57.9%","3728","56.7%","4617","53.4%","3.3pp"
"Merfolk Cave-Diver","U","U","29800","6.24","4493","8.55","4883","89.9%","54.3%","842","56.5%","1256","56.4%","2098","56.4%","2750","52.6%","3.8pp"
"Jade Seedstones","G","U","32117","4.95","4512","6.85","2649","79.5%","55.1%","365","","723","54.6%","1088","56.3%","1534","54.0%","2.3pp"
"Cogwork Wrestler","U","C","84927","6.98","18368","8.74","3538","59.3%","55.3%","576","54.3%","747","57.4%","1323","56.1%","2157","55.0%","1.1pp"
"Unlucky Drop","U","C","91237","8.18","16587","10.54","4182","55.1%","55.1%","666","51.5%","1099","58.8%","1765","56.0%","2397","54.5%","1.5pp"
"Sinuous Benthisaur","U","U","33094","6.83","4766","9.33","1286","49.1%","51.6%","206","","377","","583","55.9%","665","46.0%","9.9pp"
"Malamet Battle Glyph","G","U","21063","3.75","4179","4.71","3574","96.3%","56.0%","555","56.0%","981","55.8%","1536","55.9%","2013","56.0%","-0.1pp"
"Explorer's Cache","G","U","27983","5.34","4179","7.16","2765","84.3%","56.1%","467","","660","54.4%","1127","55.8%","1628","56.3%","-0.5pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","1623","85.8%","51.8%","285","","412","","697","55.8%","892","48.5%","7.3pp"
"Thrashing Brontodon","G","U","17753","3.12","4259","3.76","2994","97.3%","55.1%","507","54.4%","753","56.0%","1260","55.4%","1692","54.7%","0.7pp"
"Oaken Siren","U","C","71616","5.37","18614","6.63","4086","74.5%","54.8%","735","54.0%","925","55.9%","1660","55.1%","2361","54.5%","0.6pp"
"Nicanzil, Current Conductor","UG","U","24829","5.07","3821","6.61","8150","98.9%","53.7%","1394","59.1%","2125","52.0%","3519","54.8%","4547","52.7%","2.1pp"
"Pathfinding Axejaw","G","C","62688","4.41","10177","5.87","7951","96.5%","54.6%","1322","55.3%","2131","54.4%","3453","54.8%","4425","54.4%","0.4pp"
"Armored Kincaller","G","C","72779","5.40","10103","7.44","3579","71.0%","54.3%","619","54.4%","920","54.8%","1539","54.6%","1989","53.8%","0.8pp"
"Colossadactyl","G","U","17227","3.08","3826","3.77","2606","96.5%","53.8%","452","","669","52.3%","1121","54.6%","1435","53.2%","1.4pp"
"Brackish Blunder","U","C","82857","6.48","16517","8.52","7531","84.4%","54.7%","1293","53.2%","1934","55.5%","3227","54.6%","4270","54.6%","-0.0pp"
"Eaten by Piranhas","U","U","24382","4.54","5405","5.85","2654","94.4%","55.5%","435","","676","56.4%","1111","54.5%","1531","56.2%","-1.6pp"
"Inverted Iceberg","U","C","76036","5.99","17720","7.56","4102","66.0%","54.1%","710","55.2%","1036","54.1%","1746","54.5%","2298","53.7%","0.8pp"
"Confounding Riddle","U","U","27299","5.08","5659","6.63","2133","81.0%","52.3%","327","","514","57.2%","841","54.5%","1277","51.0%","3.5pp"
"Ancestral Reminiscence","U","C","92248","8.48","11962","11.86","1281","25.6%","55.0%","216","","313","","529","54.4%","747","55.4%","-1.0pp"
"Hidden Cataract","","B","75483","6.50","13323","8.97","6625","97.5%","53.9%","1150","54.8%","1843","54.2%","2993","54.4%","3555","53.4%","1.0pp"
"River Herald Scout","U","C","74797","5.58","16715","7.25","12315","97.0%","54.3%","2233","55.7%","2905","53.0%","5138","54.2%","7046","54.4%","-0.2pp"
"Cavern Stomper","G","C","75596","5.76","8982","8.21","4357","76.1%","53.2%","642","53.4%","1127","54.6%","1769","54.2%","2528","52.6%","1.5pp"
"Captivating Cave","","B","72074","5.76","9793","8.31","2265","75.5%","53.2%","396","","623","54.6%","1019","54.1%","1212","52.1%","1.9pp"
"Poison Dart Frog","G","C","56780","3.99","10276","5.11","6794","94.8%","54.4%","1257","54.3%","1576","53.7%","2833","54.0%","3917","54.7%","-0.7pp"
"Over the Edge","G","C","85179","7.03","8054","10.42","4163","64.8%","52.0%","670","53.4%","1128","53.8%","1798","53.7%","2351","50.7%","3.0pp"
"Hidden Nursery","","B","72351","6.01","8891","8.61","6304","97.2%","54.1%","1085","55.0%","1683","52.7%","2768","53.6%","3457","54.6%","-0.9pp"
"Hermitic Nautilus","U","U","27257","5.16","6473","6.49","2431","85.1%","54.5%","474","","524","53.4%","998","53.4%","1391","55.0%","-1.6pp"
"Twists and Turns","G","U","28604","4.44","4668","5.76","5053","95.3%","53.7%","843","51.1%","1361","54.2%","2204","53.0%","2831","54.2%","-1.1pp"
"Malamet Veteran","G","C","85109","6.95","8150","10.39","3028","54.3%","53.0%","457","","763","54.3%","1220","53.0%","1773","52.7%","0.3pp"
"Compass Gnome","","C","84049","6.11","12669","8.72","1563","53.6%","51.8%","273","","348","","621","52.7%","923","50.9%","1.7pp"
"Out of Air","U","C","90128","8.07","12556","11.23","2208","36.5%","50.4%","350","","496","","846","52.6%","1353","48.8%","3.8pp"
"River Herald Guide","G","C","74485","5.57","10575","7.60","10114","93.3%","52.8%","1761","50.4%","2576","53.9%","4337","52.5%","5673","53.1%","-0.6pp"
"Coati Scavenger","G","U","24162","4.45","3945","5.81","2118","86.9%","53.6%","367","","527","56.4%","894","52.5%","1201","54.5%","-2.0pp"
