"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Unstable Glyphbridge","W","R","2763","1.70","1874","1.70","1967","99.4%","57.9%","347","","544","66.9%","891","65.1%","1077","52.0%","13.1pp"
"Sanguine Evangelist","W","R","2659","1.68","1881","1.66","2323","100.0%","57.8%","423","","638","64.4%","1061","64.8%","1261","51.9%","13.0pp"
"Preacher of the Schism","B","R","2553","1.50","1650","1.45","2174","100.0%","58.2%","382","","612","63.6%","994","64.8%","1185","52.7%","12.1pp"
"Deep-Cavern Bat","B","U","17360","3.16","5507","3.67","7840","99.1%","57.1%","1402","66.3%","2057","59.5%","3459","62.2%","4387","53.1%","9.1pp"
"Warden of the Inner Sky","W","R","2997","1.80","1819","1.78","1638","98.0%","57.3%","301","","433","","734","61.7%","908","53.7%","8.0pp"
"Starving Revenant","B","R","2970","1.78","1519","1.76","1862","99.3%","57.3%","310","","496","","806","61.5%","1056","53.9%","7.7pp"
"Vito, Fanatic of Aclazotz","WB","M","1408","1.72","752","1.61","1981","100.0%","54.3%","326","","562","61.7%","888","61.0%","1099","49.0%","12.1pp"
"Corpses of the Lost","B","R","3423","2.13","1618","2.10","1953","96.8%","56.3%","354","","497","","851","60.6%","1097","52.7%","7.9pp"
"Thousand Moons Smithy","W","R","2488","1.48","1834","1.42","1498","99.7%","54.3%","264","","400","","664","59.9%","834","49.9%","10.1pp"
"Chupacabra Echo","B","U","13942","2.51","5113","2.84","6632","99.6%","55.9%","1060","54.1%","1770","62.6%","2830","59.4%","3792","53.3%","6.1pp"
"Spring-Loaded Sawblades","W","U","17881","2.66","7324","3.02","6658","98.5%","55.0%","1129","57.0%","1767","60.7%","2896","59.3%","3756","51.7%","7.6pp"
"Ruin-Lurker Bat","W","U","19724","3.58","6704","4.08","6685","97.2%","54.4%","1194","60.9%","1620","57.0%","2814","58.6%","3863","51.3%","7.3pp"
"Oltec Cloud Guard","W","C","57145","3.93","17548","4.73","15961","98.2%","55.4%","2692","56.8%","4172","59.1%","6864","58.2%","9091","53.3%","5.0pp"
"Clay-Fired Bricks","W","U","22423","3.34","8089","3.75","6881","94.4%","54.7%","1248","55.1%","1831","60.0%","3079","58.0%","3796","51.9%","6.1pp"
"Defossilize","B","U","22622","4.28","4208","5.44","2971","72.3%","53.5%","479","","797","60.0%","1276","58.0%","1689","50.0%","8.0pp"
"Miner's Guidewing","W","C","71999","5.20","16479","6.55","12782","86.2%","55.3%","2253","60.9%","3025","55.4%","5278","57.7%","7501","53.6%","4.1pp"
"Tithing Blade","B","C","65254","4.91","10146","6.71","12596","88.0%","55.3%","2296","57.0%","3236","58.1%","5532","57.6%","7045","53.4%","4.2pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","2054","74.5%","53.3%","349","","517","56.1%","866","57.3%","1184","50.5%","6.8pp"
"Skullcap Snail","B","C","72667","5.29","12431","7.06","15824","92.3%","54.3%","2728","57.3%","4042","56.8%","6770","57.0%","9027","52.2%","4.8pp"
"Another Chance","B","C","84921","6.85","11257","9.57","7876","60.1%","54.6%","1232","53.6%","2012","58.7%","3244","56.8%","4617","52.9%","3.8pp"
"Might of the Ancestors","W","U","30268","6.33","3626","9.19","1269","38.9%","55.2%","197","","312","","509","56.6%","760","54.2%","2.4pp"
"Fanatical Offering","B","C","80284","6.29","10891","8.78","12926","82.4%","55.2%","2132","54.3%","3324","58.0%","5456","56.5%","7449","54.1%","2.4pp"
"Mephitic Draught","B","C","84205","6.83","11002","9.51","13332","73.9%","54.7%","2393","56.5%","3494","56.5%","5887","56.5%","7425","53.2%","3.3pp"
"Tarrian's Journal","B","R","3289","2.03","1460","2.02","2034","96.6%","53.4%","359","","521","55.9%","880","56.5%","1151","51.0%","5.5pp"
"Visage of Dread","B","U","27821","4.14","5722","5.30","6450","90.1%","54.0%","1124","57.3%","1648","55.9%","2772","56.5%","3668","52.1%","4.3pp"
"Synapse Necromage","B","U","24369","4.44","4499","5.76","6970","94.0%","54.3%","1228","56.2%","1773","56.6%","3001","56.4%","3966","52.7%","3.7pp"
"Kellan, Daring Traveler","WG","R","3225","1.98","1832","1.89","1363","98.3%","54.4%","247","","330","","577","56.3%","787","53.1%","3.2pp"
"Amalia Benavides Aguirre","WB","R","5353","3.28","1171","3.83","2662","93.6%","52.1%","477","","664","55.9%","1141","55.7%","1521","49.4%","6.3pp"
"Tinker's Tote","W","C","63084","4.45","17342","5.54","16135","95.7%","53.9%","2787","52.5%","4215","57.9%","7002","55.7%","9114","52.5%","3.2pp"
"Stalactite Stalker","B","R","3139","1.91","1438","1.89","1670","98.6%","53.7%","301","","437","","738","55.7%","935","52.0%","3.7pp"
"Dusk Rose Reliquary","W","U","18858","3.41","6120","4.01","6216","97.0%","54.5%","994","52.6%","1626","57.6%","2620","55.7%","3589","53.6%","2.1pp"
"Kinjalli's Dawnrunner","W","U","19801","3.58","5671","4.30","4699","90.3%","54.1%","788","55.5%","1227","55.7%","2015","55.6%","2683","52.9%","2.7pp"
"Market Gnome","W","U","23865","4.32","5349","5.36","4765","88.8%","53.4%","824","53.0%","1258","56.7%","2082","55.2%","2680","52.0%","3.2pp"
"Guardian of the Great Door","W","U","18149","3.31","5999","3.83","5618","95.6%","53.6%","933","54.8%","1484","55.5%","2417","55.2%","3215","52.3%","2.8pp"
"Digsite Conservator","","U","27149","4.49","5802","6.10","2003","71.1%","51.5%","340","","504","55.0%","844","55.1%","1153","49.0%","6.1pp"
"Kutzil's Flanker","W","R","3366","1.95","1659","2.00","1623","99.0%","51.1%","271","","397","","668","55.1%","955","48.4%","6.7pp"
"Captivating Cave","","B","72074","5.76","9793","8.31","3276","70.8%","53.7%","608","53.1%","803","56.5%","1411","55.1%","1861","52.6%","2.5pp"
"Petrify","W","C","55434","3.77","14254","4.82","11826","91.6%","53.5%","2036","52.7%","3040","56.6%","5076","55.0%","6729","52.3%","2.7pp"
"Quicksand Whirlpool","W","C","72644","5.28","10797","7.53","7502","71.8%","52.7%","1189","53.2%","2007","55.8%","3196","54.8%","4286","51.1%","3.8pp"
"Primordial Gnawer","B","C","88475","7.55","9451","11.01","3339","30.7%","52.7%","507","53.8%","883","55.4%","1390","54.8%","1943","51.0%","3.9pp"
"Soaring Sandwing","W","C","80016","5.98","11532","8.66","7921","70.0%","54.1%","1345","54.5%","2019","54.9%","3364","54.8%","4544","53.4%","1.3pp"
"Vanguard of the Rose","W","U","25193","4.68","6323","5.75","6437","94.3%","54.4%","1145","53.5%","1619","55.6%","2764","54.7%","3667","54.0%","0.7pp"
