"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sentinel of the Nameless City","G","R","2598","1.57","1611","1.50","1299","100.0%","62.6%","238","","325","","563","69.1%","732","57.5%","11.6pp"
"Sanguine Evangelist","W","R","2659","1.68","1881","1.66","1190","100.0%","60.7%","203","","307","","510","65.5%","675","57.2%","8.3pp"
"Bedrock Tortoise","G","R","2893","1.76","1429","1.69","1196","99.3%","60.2%","210","","295","","505","64.8%","691","57.2%","7.6pp"
"Ruin-Lurker Bat","W","U","19724","3.58","6704","4.08","3651","98.4%","60.2%","653","68.1%","813","61.1%","1466","64.3%","2171","57.5%","6.8pp"
"Kellan, Daring Traveler","WG","R","3225","1.98","1832","1.89","1625","99.7%","58.3%","319","","405","","724","61.0%","888","55.7%","5.3pp"
"Cenote Scout","G","U","21613","3.87","4594","4.82","3869","97.9%","58.3%","690","60.3%","840","59.9%","1530","60.1%","2330","57.3%","2.8pp"
"Spring-Loaded Sawblades","W","U","17881","2.66","7324","3.02","3356","96.7%","56.9%","586","61.3%","846","59.1%","1432","60.0%","1923","54.5%","5.5pp"
"Oltec Cloud Guard","W","C","57145","3.93","17548","4.73","8944","97.9%","57.5%","1497","58.5%","2187","60.7%","3684","59.8%","5228","56.0%","3.8pp"
"Kutzil, Malamet Exemplar","WG","U","23546","4.63","3996","5.94","8780","99.1%","57.2%","1602","62.0%","2102","58.1%","3704","59.8%","5029","55.3%","4.5pp"
"Miner's Guidewing","W","C","71999","5.20","16479","6.55","8716","93.3%","58.5%","1560","62.3%","1903","57.6%","3463","59.7%","5238","57.7%","2.0pp"
"Staggering Size","G","C","89148","7.74","9997","10.85","5101","61.2%","57.5%","841","57.9%","1215","60.7%","2056","59.6%","3045","56.2%","3.4pp"
"Earthshaker Dreadmaw","G","U","17299","3.23","3700","3.84","1921","87.3%","57.8%","271","","434","","705","59.4%","1197","56.6%","2.8pp"
