"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bonehoard Dracosaur","R","M","970","1.15","877","1.13","1228","100.0%","62.5%","226","","284","","510","73.1%","725","54.9%","18.2pp"
"Sanguine Evangelist","W","R","2659","1.68","1881","1.66","2797","99.9%","62.5%","503","71.2%","560","65.9%","1063","68.4%","1734","58.9%","9.5pp"
"Quintorius Kand","WR","M","1022","1.22","882","1.21","2112","100.0%","58.1%","368","","506","65.6%","874","66.9%","1238","51.9%","15.0pp"
"Magmatic Galleon","R","R","2629","1.61","1895","1.57","2969","98.9%","59.9%","462","","731","66.5%","1193","66.6%","1777","55.5%","11.1pp"
"Breeches, Eager Pillager","R","R","2399","1.48","1819","1.44","2293","100.0%","60.8%","403","","521","64.3%","924","65.5%","1372","57.7%","7.8pp"
"Anim Pakal, Thousandth Moon","WR","R","2972","1.84","1908","1.76","5454","99.9%","59.3%","962","67.9%","1272","63.5%","2234","65.4%","3233","55.0%","10.4pp"
"Warden of the Inner Sky","W","R","2997","1.80","1819","1.78","2874","99.3%","59.4%","547","67.8%","599","62.4%","1146","65.0%","1735","55.6%","9.4pp"
"Inti, Seneschal of the Sun","R","R","2529","1.54","1837","1.52","2887","100.0%","60.8%","529","70.5%","623","60.0%","1152","64.8%","1739","58.1%","6.7pp"
"Thousand Moons Smithy","W","R","2488","1.48","1834","1.42","2885","100.0%","59.3%","481","","658","63.2%","1139","64.6%","1745","55.8%","8.8pp"
"Unstable Glyphbridge","W","R","2763","1.70","1874","1.70","2342","93.4%","60.7%","401","","504","64.5%","905","64.3%","1441","58.3%","6.0pp"
"Kellan, Daring Traveler","WG","R","3225","1.98","1832","1.89","2677","99.5%","60.0%","520","66.0%","539","61.0%","1059","63.5%","1619","57.7%","5.8pp"
"Trumpeting Carnosaur","R","R","2164","1.30","1751","1.28","2248","99.7%","58.3%","381","","535","63.9%","916","63.1%","1333","55.1%","8.0pp"
"Dire Flail","R","R","3681","2.22","2095","2.15","3444","99.5%","59.4%","584","64.2%","728","61.0%","1312","62.4%","2131","57.5%","4.9pp"
"Poetic Ingenuity","R","R","3209","2.09","1669","2.00","2037","89.4%","56.6%","378","","479","","857","61.8%","1178","52.8%","9.0pp"
"Geological Appraiser","R","U","15802","2.87","6606","3.23","10332","97.9%","59.6%","1737","61.8%","2314","60.4%","4051","61.0%","6278","58.7%","2.3pp"
"Oltec Cloud Guard","W","C","57145","3.93","17548","4.73","28131","97.9%","59.0%","4701","60.1%","6192","60.9%","10893","60.6%","17249","58.0%","2.5pp"
"Dusk Rose Reliquary","W","U","18858","3.41","6120","4.01","9016","94.2%","59.0%","1432","60.1%","2019","60.7%","3451","60.4%","5565","58.1%","2.3pp"
"Ruin-Lurker Bat","W","U","19724","3.58","6704","4.08","11068","97.2%","59.1%","1989","64.5%","2292","56.8%","4281","60.4%","6796","58.2%","2.2pp"
"Miner's Guidewing","W","C","71999","5.20","16479","6.55","27940","92.5%","59.2%","4896","63.6%","5749","57.1%","10645","60.1%","17296","58.7%","1.4pp"
"Clay-Fired Bricks","W","U","22423","3.34","8089","3.75","10491","92.7%","58.4%","1896","59.0%","2325","60.9%","4221","60.0%","6273","57.2%","2.8pp"
"Spring-Loaded Sawblades","W","U","17881","2.66","7324","3.02","10218","96.3%","57.8%","1785","59.8%","2296","59.8%","4081","59.8%","6138","56.5%","3.3pp"
"Petrify","W","C","55434","3.77","14254","4.82","21455","96.0%","58.2%","3634","58.3%","4772","60.0%","8406","59.2%","13043","57.5%","1.8pp"
"Caparocti Sunborn","WR","U","20087","3.89","6151","4.49","19090","99.2%","57.3%","3094","59.4%","4256","58.4%","7350","58.8%","11784","56.4%","2.5pp"
"Etali's Favor","R","C","82257","6.48","14326","8.55","14927","67.1%","59.3%","2427","58.5%","3255","59.0%","5682","58.8%","9245","59.5%","-0.7pp"
"Diamond Pick-Axe","R","U","21914","4.03","5881","4.79","9169","93.5%","57.9%","1580","61.6%","1928","56.5%","3508","58.8%","5661","57.4%","1.4pp"
"Dreadmaw's Ire","R","U","21998","3.93","6540","4.77","9179","92.6%","58.1%","1482","58.4%","1957","58.9%","3439","58.7%","5738","57.8%","0.9pp"
"Saheeli's Lattice","R","U","32465","4.77","6824","6.16","5593","69.2%","57.1%","1020","59.6%","1164","57.7%","2184","58.6%","3409","56.1%","2.5pp"
"Plundering Pirate","R","C","69091","4.85","16068","6.27","22218","92.9%","58.6%","3824","59.0%","4722","57.0%","8546","57.9%","13673","59.0%","-1.1pp"
"Volatile Wanderglyph","R","C","77861","5.65","16313","7.37","25938","93.2%","58.2%","4629","60.9%","5328","55.0%","9957","57.8%","15977","58.5%","-0.8pp"
"Sunshot Militia","R","C","80799","6.32","17149","8.07","29502","88.2%","57.7%","5230","58.6%","6137","57.0%","11367","57.7%","18136","57.7%","0.1pp"
"Abrade","R","C","40002","2.81","16888","3.25","25172","99.5%","57.5%","4248","58.8%","5451","56.7%","9699","57.6%","15470","57.4%","0.1pp"
"Kinjalli's Dawnrunner","W","U","19801","3.58","5671","4.30","9271","95.2%","57.6%","1636","57.5%","2027","57.5%","3663","57.5%","5614","57.6%","-0.1pp"
"Tinker's Tote","W","C","63084","4.45","17342","5.54","28215","95.6%","57.6%","4922","57.0%","6209","57.3%","11131","57.2%","17078","58.0%","-0.8pp"
"Goblin Tomb Raider","R","C","80856","6.38","17699","7.96","24515","81.8%","57.1%","4282","60.4%","5012","54.2%","9294","57.1%","15225","57.1%","-0.0pp"
"Acrobatic Leap","W","C","93048","8.74","12235","12.08","3519","19.5%","57.5%","513","58.3%","724","55.9%","1237","56.9%","2282","57.8%","-0.9pp"
"Ancestors' Aid","R","C","88740","7.57","12510","10.54","8010","43.0%","57.0%","1317","55.3%","1651","58.0%","2968","56.8%","5042","57.0%","-0.2pp"
"Malamet War Scribe","W","U","23476","4.39","5060","5.55","7508","85.0%","56.8%","1161","57.9%","1637","55.9%","2798","56.7%","4709","56.8%","-0.1pp"
"Triumphant Chomp","R","U","18415","3.29","5588","3.93","5870","87.1%","57.9%","978","57.0%","1237","56.5%","2215","56.7%","3653","58.6%","-1.9pp"
"Digsite Conservator","","U","27149","4.49","5802","6.10","3860","76.2%","56.5%","700","55.7%","803","57.5%","1503","56.7%","2357","56.3%","0.3pp"
"Market Gnome","W","U","23865","4.32","5349","5.36","4505","69.2%","55.2%","802","56.9%","981","56.5%","1783","56.6%","2722","54.3%","2.3pp"
"Dinotomaton","R","C","74435","5.46","11905","7.65","10276","66.4%","56.0%","1703","56.3%","2238","56.6%","3941","56.5%","6341","55.7%","0.8pp"
"Ironpaw Aspirant","W","C","75928","5.62","16017","7.28","25303","90.1%","58.3%","4599","57.4%","5281","55.5%","9880","56.4%","15426","59.5%","-3.1pp"
"Guardian of the Great Door","W","U","18149","3.31","5999","3.83","9922","96.6%","57.0%","1596","57.0%","2305","56.0%","3901","56.4%","6038","57.3%","-0.9pp"
"Sunfire Torch","R","C","80059","6.14","17467","7.81","21973","81.2%","57.0%","3657","56.4%","4732","55.9%","8389","56.1%","13581","57.5%","-1.4pp"
"Attentive Sunscribe","W","C","80634","6.02","13795","8.26","22560","86.5%","57.8%","4057","57.8%","4571","54.5%","8628","56.1%","13923","58.9%","-2.8pp"
"Soaring Sandwing","W","C","80016","5.98","11532","8.66","7438","50.4%","56.3%","1233","56.2%","1658","55.6%","2891","55.9%","4547","56.4%","-0.6pp"
"Vanguard of the Rose","W","U","25193","4.68","6323","5.75","9587","91.5%","57.9%","1717","57.4%","2073","54.6%","3790","55.9%","5802","59.2%","-3.3pp"
"Captivating Cave","","B","72074","5.76","9793","8.31","4106","63.6%","55.9%","731","55.7%","895","55.9%","1626","55.8%","2478","56.0%","-0.2pp"
"Idol of the Deep King","R","C","70280","5.26","13720","7.05","17412","82.9%","56.8%","2940","54.0%","3696","57.1%","6636","55.7%","10773","57.4%","-1.7pp"
"Hidden Courtyard","","B","75203","6.38","11993","8.93","14265","88.9%","57.3%","2530","57.0%","3106","54.6%","5636","55.7%","8626","58.3%","-2.6pp"
"Panicked Altisaur","R","C","76978","5.88","9994","8.59","6365","52.0%","56.2%","981","54.6%","1471","56.3%","2452","55.6%","3928","56.4%","-0.8pp"
"Rampaging Ceratops","R","U","24251","4.54","3741","6.28","2696","61.3%","56.2%","411","","600","58.2%","1011","55.6%","1689","56.5%","-1.0pp"
"Daring Discovery","R","C","91769","8.51","11186","12.02","2879","18.1%","56.2%","427","","602","56.5%","1029","55.6%","1850","56.5%","-0.9pp"
"Belligerent Yearling","R","U","16451","3.02","5308","3.49","6836","95.3%","57.1%","1225","55.4%","1449","55.7%","2674","55.6%","4170","58.1%","-2.5pp"
"Brass's Tunnel-Grinder","R","R","3588","2.16","1554","2.20","1648","88.9%","55.8%","275","","358","","633","55.5%","1014","56.0%","-0.6pp"
"Helping Hand","W","U","30615","6.14","4302","8.67","2635","44.1%","55.7%","434","","550","52.7%","984","55.3%","1650","55.9%","-0.7pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","2564","68.8%","56.8%","451","","555","57.1%","1006","55.1%","1559","57.9%","-2.9pp"
"Deconstruction Hammer","W","C","88656","7.36","14217","9.99","11169","48.9%","56.0%","1812","56.0%","2351","54.3%","4163","55.0%","7005","56.6%","-1.6pp"
"Rumbling Rockslide","R","C","68948","4.96","13164","6.74","14119","79.7%","56.8%","2327","53.8%","3061","55.3%","5388","54.7%","8728","58.0%","-3.4pp"
"Scytheclaw Raptor","R","U","16287","2.92","5030","3.48","7106","96.3%","56.7%","1286","55.4%","1543","53.9%","2829","54.6%","4286","58.0%","-3.4pp"
"Quicksand Whirlpool","W","C","72644","5.28","10797","7.53","8462","60.9%","55.2%","1394","54.2%","1818","54.7%","3212","54.5%","5248","55.6%","-1.1pp"
"Oltec Archaeologists","W","C","87844","7.32","11392","10.44","4643","29.8%","55.2%","689","54.4%","1051","54.5%","1740","54.5%","2901","55.6%","-1.1pp"
