"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Unstable Glyphbridge","W","R","2763","1.70","1874","1.70","3916","98.5%","62.8%","713","68.4%","1083","69.3%","1796","69.0%","2050","57.1%","11.9pp"
"Thousand Moons Smithy","W","R","2488","1.48","1834","1.42","4361","100.0%","62.7%","699","67.8%","1244","67.8%","1943","67.8%","2305","57.9%","10.0pp"
"Sanguine Evangelist","W","R","2659","1.68","1881","1.66","3262","100.0%","61.2%","582","69.8%","801","65.5%","1383","67.3%","1843","56.3%","11.1pp"
"Warden of the Inner Sky","W","R","2997","1.80","1819","1.78","3872","99.5%","61.9%","697","68.0%","1000","65.7%","1697","66.6%","2160","58.1%","8.5pp"
"Akal Pakal, First Among Equals","U","R","3183","1.92","2115","1.89","4594","99.7%","61.4%","793","69.1%","1236","64.9%","2029","66.5%","2541","57.2%","9.3pp"
"Zoetic Glyph","U","U","20208","3.75","8636","3.97","18206","97.5%","62.2%","2944","68.6%","4913","64.7%","7857","66.2%","10230","59.0%","7.2pp"
"Ojer Pakpatiq, Deepest Epoch","U","M","1150","1.37","871","1.31","1516","99.0%","61.5%","262","","423","","685","65.8%","821","57.7%","8.1pp"
"Kitesail Larcenist","U","R","2795","1.72","1946","1.69","3508","99.9%","61.0%","591","63.3%","915","67.3%","1506","65.7%","1925","56.6%","9.2pp"
"Subterranean Schooner","U","R","2941","1.85","1989","1.80","3866","99.8%","61.7%","724","73.2%","978","59.6%","1702","65.4%","2083","58.2%","7.2pp"
"Spyglass Siren","U","U","17780","3.19","7761","3.56","16280","99.5%","61.8%","2840","68.2%","4070","63.3%","6910","65.4%","9112","58.7%","6.6pp"
"Restless Anchorage","","R","4637","2.58","1865","2.72","5092","99.9%","60.7%","934","65.7%","1288","64.1%","2222","64.8%","2846","57.6%","7.3pp"
"Resplendent Angel","W","M","1126","1.39","833","1.34","1584","100.0%","60.0%","293","","405","","698","64.8%","886","56.4%","8.3pp"
"The Everflowing Well","U","R","4111","2.53","1645","2.62","2391","91.4%","61.0%","375","","661","66.3%","1036","64.7%","1306","57.7%","6.9pp"
"Staunch Crewmate","U","U","23134","4.26","7773","4.77","14493","95.8%","61.5%","2627","64.6%","3713","64.3%","6340","64.4%","7864","59.0%","5.4pp"
"Clay-Fired Bricks","W","U","22423","3.34","8089","3.75","18141","98.0%","60.6%","3286","63.6%","4702","63.5%","7988","63.5%","9762","57.9%","5.6pp"
"Ruin-Lurker Bat","W","U","19724","3.58","6704","4.08","11916","95.2%","61.1%","2089","65.5%","2877","61.9%","4966","63.4%","6907","59.3%","4.1pp"
"Spring-Loaded Sawblades","W","U","17881","2.66","7324","3.02","15817","99.3%","60.6%","2743","63.3%","4119","63.0%","6862","63.1%","8654","58.2%","4.9pp"
"Waterwind Scout","U","C","57094","4.04","20442","4.69","39842","99.1%","61.3%","6930","63.1%","10355","62.9%","17285","63.0%","22307","59.9%","3.1pp"
"Oltec Cloud Guard","W","C","57145","3.93","17548","4.73","36570","98.8%","60.6%","6117","61.0%","9417","62.9%","15534","62.2%","20793","59.3%","2.9pp"
"Miner's Guidewing","W","C","71999","5.20","16479","6.55","27986","87.2%","60.6%","5037","63.6%","6537","60.4%","11574","61.8%","16308","59.6%","2.2pp"
"Petrify","W","C","55434","3.77","14254","4.82","28798","97.8%","60.3%","4918","59.5%","7512","62.9%","12430","61.5%","16127","59.4%","2.2pp"
"Kellan, Daring Traveler","WG","R","3225","1.98","1832","1.89","2595","96.5%","59.3%","475","","644","57.8%","1119","61.3%","1464","57.7%","3.6pp"
"Malcolm, Alluring Scoundrel","U","R","2686","1.64","1870","1.59","3563","99.8%","59.1%","665","66.0%","946","57.9%","1611","61.3%","1901","57.3%","4.0pp"
"Inverted Iceberg","U","C","76036","5.99","17720","7.56","31683","86.3%","60.3%","5611","60.8%","7990","61.5%","13601","61.2%","17564","59.5%","1.8pp"
"Roaming Throne","","R","2261","1.31","1687","1.30","1524","95.8%","59.1%","254","","416","","670","61.2%","821","56.9%","4.3pp"
"Abuelo, Ancestral Echo","WU","R","4095","2.54","1882","2.46","6182","99.6%","59.2%","1047","58.6%","1680","62.7%","2727","61.1%","3411","57.5%","3.6pp"
"Lodestone Needle","U","U","27505","4.25","8736","4.98","17982","96.7%","59.6%","3069","57.8%","4777","63.2%","7846","61.1%","9755","58.0%","3.1pp"
"Dusk Rose Reliquary","W","U","18858","3.41","6120","4.01","12176","96.9%","60.2%","1958","59.7%","3223","61.8%","5181","61.0%","6748","59.2%","1.9pp"
"Oaken Siren","U","C","71616","5.37","18614","6.63","38441","95.6%","60.1%","6781","62.6%","9057","59.4%","15838","60.8%","22049","59.4%","1.4pp"
"Market Gnome","W","U","23865","4.32","5349","5.36","11397","88.9%","59.1%","2001","60.6%","2851","60.5%","4852","60.6%","6368","58.1%","2.4pp"
"Braided Net","U","R","4422","2.63","2053","2.69","3746","97.6%","59.4%","633","56.7%","1216","62.3%","1849","60.4%","2000","58.1%","2.3pp"
"Kinjalli's Dawnrunner","W","U","19801","3.58","5671","4.30","9361","91.4%","59.8%","1684","60.6%","2331","59.9%","4015","60.2%","5317","59.5%","0.7pp"
"Threefold Thunderhulk","","R","2223","1.32","1832","1.30","2000","96.6%","57.4%","315","","541","62.1%","856","60.2%","1095","54.8%","5.4pp"
"Tishana's Tidebinder","U","R","3903","2.26","1758","2.33","3204","96.5%","59.2%","540","59.8%","896","60.2%","1436","60.0%","1738","57.9%","2.1pp"
"Guardian of the Great Door","W","U","18149","3.31","5999","3.83","11539","97.2%","59.1%","1942","59.5%","3052","60.3%","4994","60.0%","6511","58.4%","1.6pp"
"Tinker's Tote","W","C","63084","4.45","17342","5.54","35103","96.6%","59.4%","6052","58.6%","8648","60.8%","14700","59.9%","19821","58.8%","1.2pp"
"Captivating Cave","","B","72074","5.76","9793","8.31","5605","66.4%","58.0%","964","61.1%","1460","59.1%","2424","59.9%","3154","56.6%","3.3pp"
"Cogwork Wrestler","U","C","84927","6.98","18368","8.74","28289","77.6%","59.7%","4711","59.5%","6743","60.2%","11454","59.9%","16454","59.4%","0.4pp"
"Hidden Courtyard","","B","75203","6.38","11993","8.93","19099","93.0%","59.4%","3378","60.5%","4897","59.1%","8275","59.7%","10737","59.2%","0.5pp"
"Master's Guide-Mural","WU","U","26582","4.14","8080","4.82","26108","98.0%","58.7%","4427","58.4%","6739","60.0%","11166","59.3%","14396","57.7%","1.7pp"
"Unlucky Drop","U","C","91237","8.18","16587","10.54","16777","53.6%","60.6%","2784","58.8%","4241","59.7%","7025","59.3%","9630","61.3%","-2.0pp"
"Vanguard of the Rose","W","U","25193","4.68","6323","5.75","9298","84.8%","59.4%","1644","60.3%","2182","58.5%","3826","59.3%","5425","59.5%","-0.2pp"
"Brackish Blunder","U","C","82857","6.48","16517","8.52","22952","74.5%","59.3%","3874","57.1%","5678","60.5%","9552","59.1%","13250","59.3%","-0.2pp"
"Orazca Puzzle-Door","U","C","90290","7.83","16113","10.33","13243","46.8%","59.6%","2366","58.8%","3188","59.3%","5554","59.1%","7487","59.9%","-0.8pp"
"Chart a Course","U","U","24674","4.55","6481","5.58","10266","90.0%","59.4%","1761","57.6%","2586","59.6%","4347","58.8%","5855","59.9%","-1.2pp"
"Confounding Riddle","U","U","27299","5.08","5659","6.63","6843","71.1%","57.8%","1147","59.4%","1780","58.2%","2927","58.7%","3888","57.0%","1.6pp"
"Waylaying Pirates","U","C","84589","6.87","16393","8.99","22317","71.1%","59.1%","3517","56.0%","5859","60.2%","9376","58.6%","12489","59.1%","-0.5pp"
"Hidden Cataract","","B","75483","6.50","13323","8.97","21619","92.9%","59.3%","3874","60.4%","5456","57.3%","9330","58.6%","12204","59.7%","-1.1pp"
"Malamet War Scribe","W","U","23476","4.39","5060","5.55","6457","75.4%","58.4%","1007","55.6%","1571","60.2%","2578","58.4%","3849","58.3%","0.1pp"
"Deconstruction Hammer","W","C","88656","7.36","14217","9.99","13691","53.4%","59.3%","2321","58.6%","3243","58.0%","5564","58.2%","7951","59.9%","-1.7pp"
"Quicksand Whirlpool","W","C","72644","5.28","10797","7.53","16854","76.8%","58.0%","2826","56.5%","4396","59.2%","7222","58.1%","9476","57.8%","0.3pp"
"Ironpaw Aspirant","W","C","75928","5.62","16017","7.28","24600","83.6%","58.9%","4355","57.9%","5874","58.2%","10229","58.1%","14275","59.5%","-1.4pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","4810","82.2%","56.7%","830","60.8%","1202","55.9%","2032","57.9%","2685","55.6%","2.3pp"
"Runaway Boulder","","C","90700","7.39","10034","10.85","3081","27.5%","56.5%","522","56.3%","777","58.8%","1299","57.8%","1740","55.0%","2.8pp"
"River Herald Scout","U","C","74797","5.58","16715","7.25","22416","78.5%","58.4%","3994","58.3%","5450","57.3%","9444","57.7%","12873","58.8%","-1.1pp"
"Eaten by Piranhas","U","U","24382","4.54","5405","5.85","8864","85.4%","57.8%","1500","56.0%","2240","58.7%","3740","57.6%","5065","57.7%","-0.1pp"
"Hermitic Nautilus","U","U","27257","5.16","6473","6.49","10882","88.1%","58.3%","1889","58.2%","2619","57.1%","4508","57.6%","6228","58.7%","-1.2pp"
"Adaptive Gemguard","W","C","76332","5.80","12881","7.97","21015","77.4%","57.5%","3462","56.6%","5430","57.7%","8892","57.3%","11856","57.6%","-0.4pp"
"Careening Mine Cart","","U","23402","3.97","6787","4.95","6320","82.2%","58.6%","1150","56.8%","1507","57.5%","2657","57.2%","3574","59.3%","-2.1pp"
"Might of the Ancestors","W","U","30268","6.33","3626","9.19","2215","41.1%","58.2%","390","","522","58.2%","912","57.1%","1294","59.0%","-1.8pp"
"Dauntless Dismantler","W","U","30118","5.84","4616","8.01","4325","54.2%","57.0%","788","56.6%","1003","57.5%","1791","57.1%","2516","56.9%","0.2pp"
"Hoverstone Pilgrim","","U","34124","6.69","4541","9.53","1452","27.4%","55.3%","241","","356","","597","57.1%","828","53.4%","3.7pp"
"Shipwreck Sentry","U","C","87857","7.59","15892","9.99","16657","55.6%","58.1%","2932","57.3%","3800","56.9%","6732","57.1%","9717","58.6%","-1.5pp"
"Oteclan Landmark","W","C","83762","7.12","12264","9.89","11921","49.9%","56.9%","2104","55.2%","2935","58.2%","5039","57.0%","6702","56.9%","0.1pp"
"Kutzil's Flanker","W","R","3366","1.95","1659","2.00","2721","96.0%","56.9%","457","","696","58.3%","1153","56.8%","1548","56.8%","0.0pp"
"Attentive Sunscribe","W","C","80634","6.02","13795","8.26","19810","75.0%","58.1%","3540","58.3%","4678","55.6%","8218","56.8%","11390","58.8%","-2.0pp"
"Acrobatic Leap","W","C","93048","8.74","12235","12.08","2483","13.4%","58.5%","386","","592","55.2%","978","56.7%","1495","59.6%","-2.9pp"
"Helping Hand","W","U","30615","6.14","4302","8.67","2705","41.0%","57.3%","406","","636","56.1%","1042","56.6%","1638","57.3%","-0.7pp"
"Hurl into History","U","U","31436","6.29","5333","8.44","3727","43.0%","56.1%","585","53.7%","1002","58.3%","1587","56.6%","2102","55.4%","1.2pp"
"Cartographer's Companion","","C","86732","6.53","14432","9.04","8784","54.1%","57.3%","1539","54.2%","2138","58.0%","3677","56.4%","5012","57.8%","-1.4pp"
"Cosmium Blast","W","C","73527","5.43","10070","7.78","14278","69.7%","56.5%","2366","55.4%","3632","56.7%","5998","56.2%","8181","56.8%","-0.6pp"
"Merfolk Cave-Diver","U","U","29800","6.24","4493","8.55","2254","39.4%","56.2%","394","","515","57.7%","909","56.1%","1337","56.3%","-0.2pp"
"Soaring Sandwing","W","C","80016","5.98","11532","8.66","11674","58.6%","56.5%","2011","55.3%","2893","56.1%","4904","55.8%","6710","56.8%","-1.0pp"
