Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
"Aclazotz, Deepest Betrayal",B,M,983,1.19,794,1.16,4229,86.50%,59.50%,729,70.10%,1155,69.70%,1884,69.90%,2325,51.10%,18.7pp
Bonehoard Dracosaur,R,M,970,1.15,877,1.13,5162,92.40%,61.60%,905,71.00%,1326,70.30%,2231,70.60%,2932,54.60%,16.0pp
Palani's Hatcher,RG,R,2778,1.73,1684,1.66,8866,84.60%,60.00%,1513,67.00%,2092,67.80%,3605,67.50%,5190,54.60%,12.8pp
"Ojer Kaslem, Deepest Growth",G,M,1028,1.27,726,1.2,3492,83.60%,55.80%,623,63.40%,870,62.10%,1493,62.60%,1971,50.70%,11.9pp
Throne of the Grim Captain,,R,6036,3.66,1222,4.47,2031,29.20%,51.60%,358,,557,58.30%,915,57.80%,1081,46.20%,11.7pp
Unstable Glyphbridge,W,R,2763,1.7,1874,1.7,10001,86.60%,60.10%,1778,64.90%,2599,67.60%,4377,66.50%,5549,55.00%,11.5pp
Kitesail Larcenist,U,R,2795,1.72,1946,1.69,10876,90.00%,60.10%,1898,65.80%,2793,66.30%,4691,66.10%,5945,54.70%,11.4pp
"Huatli, Poet of Unity",G,M,1098,1.38,812,1.33,3984,82.70%,57.70%,717,64.70%,933,63.70%,1650,64.10%,2313,52.90%,11.2pp
The Ancient One,UB,M,1948,2.54,521,2.57,1749,57.60%,53.50%,272,,521,58.50%,793,59.30%,933,48.10%,11.1pp
Sentinel of the Nameless City,G,R,2598,1.57,1611,1.5,8156,83.40%,58.90%,1468,68.50%,2064,62.50%,3532,64.90%,4593,54.10%,10.8pp
Restless Reef,,R,4674,2.73,1439,3,4556,55.20%,53.70%,801,63.00%,1231,57.20%,2032,59.50%,2483,48.80%,10.7pp
Bringer of the Last Gift,B,R,4315,2.75,1172,2.87,4310,65.20%,52.60%,646,55.70%,1151,60.20%,1797,58.60%,2475,47.90%,10.7pp
Preacher of the Schism,B,R,2553,1.5,1650,1.45,8454,85.10%,57.10%,1466,64.50%,2332,62.00%,3798,63.00%,4632,52.30%,10.7pp
Quintorius Kand,WR,M,1022,1.22,882,1.21,4771,90.70%,57.10%,831,63.30%,1152,63.10%,1983,63.20%,2774,52.70%,10.5pp
Sanguine Evangelist,W,R,2659,1.68,1881,1.66,10672,90.20%,60.50%,1907,68.30%,2571,65.20%,4478,66.50%,6149,56.10%,10.4pp
"Vito, Fanatic of Aclazotz",WB,M,1408,1.72,752,1.61,2888,66.80%,52.90%,496,,815,59.00%,1311,58.50%,1579,48.30%,10.2pp
